name	key	ref_name	ref_key	index	value	translation
###HEADER	version-etc	###HEADER	version-etc	0	<<00000003FEFE>>			
###HEADER	class	###HEADER	class	1	ColossalFramework.Globalization.Locale, ColossalManaged, Version=0.3.0.0, Culture=neutral, PublicKeyToken=null			
###HEADER	native-name	###HEADER	native-name	2	ENGLISH			
###HEADER	english-name	###HEADER	english-name	3	(ENGLISH)			
###HEADER	app-id	###HEADER	app-id	4	<<00000000>>			
###HEADER	index-count	###HEADER	index-count	5	[[0x34F]]			
CHIRP_TREASURE_HUNT		CHIRP_TREASURE_HUNT		0	[[0xC]]			
5	2x2_terrace_winter01	BUILDING_NAME	2x2_terrace_winter01	0	[[0x4]]			
5	2x2_terrace_winter02	BUILDING_NAME	2x2_terrace_winter02	0	[[0x4]]			
5	2x2_Winter_PrivatePool	BUILDING_NAME	2x2_Winter_PrivatePool	0	[[0x4]]			
5	2x3_winter_nightclub_01	BUILDING_NAME	2x3_winter_nightclub_01	0	[[0x4]]			
5	2x3_winter_nightclub_02	BUILDING_NAME	2x3_winter_nightclub_02	0	[[0x4]]			
5	3x4_winter_nightclub_01	BUILDING_NAME	3x4_winter_nightclub_01	0	[[0x4]]			
5	4x3_winter_hotel01	BUILDING_NAME	4x3_winter_hotel01	0	[[0x4]]			
5	3x2_Beach restaurant2	BUILDING_NAME	3x2_Beach restaurant2	0	[[0x3]]			
5	Eco Commercial 1x1 01	BUILDING_NAME	Eco Commercial 1x1 01	0	[[0x1]]			
5	Eco Commercial 1x1 02	BUILDING_NAME	Eco Commercial 1x1 02	0	[[0x1]]			
5	Eco Commercial 1x1 03	BUILDING_NAME	Eco Commercial 1x1 03	0	[[0x1]]			
5	Eco Commercial 1x1 04	BUILDING_NAME	Eco Commercial 1x1 04	0	[[0x1]]			
5	Eco Commercial 1x2 01	BUILDING_NAME	Eco Commercial 1x2 01	0	[[0x1]]			
5	Eco Commercial 1x2 02	BUILDING_NAME	Eco Commercial 1x2 02	0	[[0x1]]			
5	Eco Commercial 1x2 03	BUILDING_NAME	Eco Commercial 1x2 03	0	[[0x1]]			
5	Eco Commercial 1x3 01	BUILDING_NAME	Eco Commercial 1x3 01	0	[[0x1]]			
5	Eco Commercial 1x3 02	BUILDING_NAME	Eco Commercial 1x3 02	0	[[0x1]]			
5	Eco Commercial 1x4 01	BUILDING_NAME	Eco Commercial 1x4 01	0	[[0x1]]			
5	Eco Commercial 1x4 02	BUILDING_NAME	Eco Commercial 1x4 02	0	[[0x1]]			
5	Eco Commercial 2x1 01	BUILDING_NAME	Eco Commercial 2x1 01	0	[[0x1]]			
5	Eco Commercial 2x1 02	BUILDING_NAME	Eco Commercial 2x1 02	0	[[0x1]]			
5	Eco Commercial 2x1 03	BUILDING_NAME	Eco Commercial 2x1 03	0	[[0x1]]			
5	Eco Commercial 2x2 01	BUILDING_NAME	Eco Commercial 2x2 01	0	[[0x1]]			
5	Eco Commercial 2x2 02	BUILDING_NAME	Eco Commercial 2x2 02	0	[[0x1]]			
5	Eco Commercial 2x3 01	BUILDING_NAME	Eco Commercial 2x3 01	0	[[0x1]]			
5	Eco Commercial 2x3 02	BUILDING_NAME	Eco Commercial 2x3 02	0	[[0x1]]			
5	Eco Commercial 2x4 01	BUILDING_NAME	Eco Commercial 2x4 01	0	[[0x1]]			
5	Eco Commercial 2x4 02	BUILDING_NAME	Eco Commercial 2x4 02	0	[[0x1]]			
5	Eco Commercial 3x1 01	BUILDING_NAME	Eco Commercial 3x1 01	0	[[0x1]]			
5	Eco Commercial 3x1 02	BUILDING_NAME	Eco Commercial 3x1 02	0	[[0x1]]			
5	Eco Commercial 3x2 01	BUILDING_NAME	Eco Commercial 3x2 01	0	[[0x1]]			
5	Eco Commercial 3x2 02	BUILDING_NAME	Eco Commercial 3x2 02	0	[[0x1]]			
5	Eco Commercial 3x3 01	BUILDING_NAME	Eco Commercial 3x3 01	0	[[0x1]]			
5	Eco Commercial 3x3 02	BUILDING_NAME	Eco Commercial 3x3 02	0	[[0x1]]			
5	Eco Commercial 3x4 01	BUILDING_NAME	Eco Commercial 3x4 01	0	[[0x1]]			
5	Eco Commercial 3x4 02	BUILDING_NAME	Eco Commercial 3x4 02	0	[[0x1]]			
5	Eco Commercial 4x1 01	BUILDING_NAME	Eco Commercial 4x1 01	0	[[0x1]]			
5	Eco Commercial 4x1 02	BUILDING_NAME	Eco Commercial 4x1 02	0	[[0x1]]			
5	Eco Commercial 4x2 01	BUILDING_NAME	Eco Commercial 4x2 01	0	[[0x1]]			
5	Eco Commercial 4x2 02	BUILDING_NAME	Eco Commercial 4x2 02	0	[[0x1]]			
5	Eco Commercial 4x3 01	BUILDING_NAME	Eco Commercial 4x3 01	0	[[0x1]]			
5	Eco Commercial 4x3 02	BUILDING_NAME	Eco Commercial 4x3 02	0	[[0x1]]			
5	Eco Commercial 4x4 01	BUILDING_NAME	Eco Commercial 4x4 01	0	[[0x1]]			
5	Eco Commercial 4x4 02	BUILDING_NAME	Eco Commercial 4x4 02	0	[[0x1]]			
5	Hightech Office 1x1 01	BUILDING_NAME	Hightech Office 1x1 01	0	[[0x1]]			
5	Hightech Office 1x2 01	BUILDING_NAME	Hightech Office 1x2 01	0	[[0x1]]			
5	Hightech Office 1x3 01	BUILDING_NAME	Hightech Office 1x3 01	0	[[0x1]]			
5	Hightech Office 1x4 01	BUILDING_NAME	Hightech Office 1x4 01	0	[[0x1]]			
5	Hightech Office 2x1 01	BUILDING_NAME	Hightech Office 2x1 01	0	[[0x1]]			
5	Hightech Office 2x2 01	BUILDING_NAME	Hightech Office 2x2 01	0	[[0x1]]			
5	Hightech Office 2x3 01	BUILDING_NAME	Hightech Office 2x3 01	0	[[0x1]]			
5	Hightech Office 2x4 01	BUILDING_NAME	Hightech Office 2x4 01	0	[[0x1]]			
5	Hightech Office 3x1 01	BUILDING_NAME	Hightech Office 3x1 01	0	[[0x1]]			
5	Hightech Office 3x2 01	BUILDING_NAME	Hightech Office 3x2 01	0	[[0x1]]			
5	Hightech Office 3x3 01	BUILDING_NAME	Hightech Office 3x3 01	0	[[0x1]]			
5	Hightech Office 3x4 01	BUILDING_NAME	Hightech Office 3x4 01	0	[[0x1]]			
5	Hightech Office 4x1 01	BUILDING_NAME	Hightech Office 4x1 01	0	[[0x1]]			
5	Hightech Office 4x2 01	BUILDING_NAME	Hightech Office 4x2 01	0	[[0x1]]			
5	Hightech Office 4x3 01	BUILDING_NAME	Hightech Office 4x3 01	0	[[0x1]]			
5	Hightech Office 4x4 01	BUILDING_NAME	Hightech Office 4x4 01	0	[[0x1]]			
5	Farming 4x4 Farm	BUILDING_NAME	Farming 4x4 Farm	0	[[0x2]]			
5	Farming 4x4 Farm 2	BUILDING_NAME	Farming 4x4 Farm 2	0	[[0x2]]			
5	Farming 4x4 Farm 3	BUILDING_NAME	Farming 4x4 Farm 3	0	[[0x2]]			
5	L3 3x2 Shop01	BUILDING_NAME	L3 3x2 Shop01	0	[[0x1]]			
5	L3 2x2 Shop02	BUILDING_NAME	L3 2x2 Shop02	0	[[0x1]]			
5	L3 3x3 Shop06	BUILDING_NAME	L3 3x3 Shop06	0	[[0x1]]			
5	L3 1x1 Shop	BUILDING_NAME	L3 1x1 Shop	0	[[0x1]]			
5	L2 2x3 Shop03	BUILDING_NAME	L2 2x3 Shop03	0	[[0x1]]			
5	L1 1x1 Shop	BUILDING_NAME	L1 1x1 Shop	0	[[0x1]]			
5	H1 4x3 Shop02	BUILDING_NAME	H1 4x3 Shop02	0	[[0x1]]			
5	H1 4x3 Shop01	BUILDING_NAME	H1 4x3 Shop01	0	[[0x1]]			
5	H2 1x1 Shop	BUILDING_NAME	H2 1x1 Shop	0	[[0x1]]			
5	L1 3x2 Shop01	BUILDING_NAME	L1 3x2 Shop01	0	[[0x1]]			
5	L1 4x3 Shop02a	BUILDING_NAME	L1 4x3 Shop02a	0	[[0x1]]			
5	Chirpcinema	BUILDING_NAME	Chirpcinema	0	[[0x1]]			
CHIRP_FIRST_PRISON		CHIRP_FIRST_PRISON		0	[[0x1]]			
CHIRP_FIRST_TAXIDEPOT		CHIRP_FIRST_TAXIDEPOT		0	[[0x1]]			
CHIRP_FIRST_BUSTATION		CHIRP_FIRST_BUSTATION		0	[[0x1]]			
CHIRP_FIRST_LARGEAIRPORT		CHIRP_FIRST_LARGEAIRPORT		0	[[0x1]]			
CHIRP_FIRST_CARGOHUB		CHIRP_FIRST_CARGOHUB		0	[[0x1]]			
CHIRP_FIRST_STABLE		CHIRP_FIRST_STABLE		0	[[0x1]]			
CHIRP_POLICY	Open247	CHIRP_POLICY	Open247	0	[[0x2]]			
134	DontTaxLeisure	CHIRP_POLICY	DontTaxLeisure	0	[[0x2]]			
134	NoLoudNoises	CHIRP_POLICY	NoLoudNoises	0	[[0x2]]			
134	SchoolsOut	CHIRP_POLICY	SchoolsOut	0	[[0x2]]			
134	OldTown	CHIRP_POLICY	OldTown	0	[[0x2]]			
134	Tourist	CHIRP_POLICY	Tourist	0	[[0x2]]			
134	Leisure	CHIRP_POLICY	Leisure	0	[[0x2]]			
134	BikeBan	CHIRP_POLICY	BikeBan	0	[[0x2]]			
134	EncourageBiking	CHIRP_POLICY	EncourageBiking	0	[[0x2]]			
134	DoubleSentences	CHIRP_POLICY	DoubleSentences	0	[[0x2]]			
134	HotelDiscounts	CHIRP_POLICY	HotelDiscounts	0	[[0x2]]			
134	CarRentals	CHIRP_POLICY	CarRentals	0	[[0x3]]			
134	SlowDriving	CHIRP_POLICY	SlowDriving	0	[[0x5]]			
134	SugarBan	CHIRP_POLICY	SugarBan	0	[[0x5]]			
134	StreetMusic	CHIRP_POLICY	StreetMusic	0	[[0x5]]			
134	DeliverEverything	CHIRP_POLICY	DeliverEverything	0	[[0x5]]			
134	ResidentialWallToWall	CHIRP_POLICY	ResidentialWallToWall	0	[[0x2]]			
134	CommercialWallToWall	CHIRP_POLICY	CommercialWallToWall	0	[[0x2]]			
134	OfficeWallToWall	CHIRP_POLICY	OfficeWallToWall	0	[[0x2]]			
134	Financial	CHIRP_POLICY	Financial	0	[[0x5]]			
134	StuddedTires	CHIRP_POLICY	StuddedTires	0	[[0x5]]			
134	AntiSlip	CHIRP_POLICY	AntiSlip	0	[[0x4]]			
134	ExtraInsulation	CHIRP_POLICY	ExtraInsulation	0	[[0x5]]			
134	NoElectricity	CHIRP_POLICY	NoElectricity	0	[[0x5]]			
134	OnlyElectricity	CHIRP_POLICY	OnlyElectricity	0	[[0x5]]			
134	LightningRods	CHIRP_POLICY	LightningRods	0	[[0x5]]			
134	HelicopterPriority	CHIRP_POLICY	HelicopterPriority	0	[[0x4]]			
134	VIPArea	CHIRP_POLICY	VIPArea	0	[[0x5]]			
134	FastRecovery	CHIRP_POLICY	FastRecovery	0	[[0x5]]			
134	NoRebuild	CHIRP_POLICY	NoRebuild	0	[[0x5]]			
134	PreferFerries	CHIRP_POLICY	PreferFerries	0	[[0xB]]			
134	EducationalBlimps	CHIRP_POLICY	EducationalBlimps	0	[[0xB]]			
134	HighTicketPrices	CHIRP_POLICY	HighTicketPrices	0	[[0xB]]			
134	RecyclePlastic	CHIRP_POLICY	RecyclePlastic	0	[[0xB]]			
134	CombustionEngineBan	CHIRP_POLICY	CombustionEngineBan	0	[[0xB]]			
134	ElectricCars	CHIRP_POLICY	ElectricCars	0	[[0xB]]			
134	FilterIndustrialWaste	CHIRP_POLICY	FilterIndustrialWaste	0	[[0xB]]			
134	Selfsufficient	CHIRP_POLICY	Selfsufficient	0	[[0xB]]			
134	Organic	CHIRP_POLICY	Organic	0	[[0xB]]			
134	Hightech	CHIRP_POLICY	Hightech	0	[[0xB]]			
134	PreferParks	CHIRP_POLICY	PreferParks	0	[[0xC]]			
134	ParkMaintenanceBoost	CHIRP_POLICY	ParkMaintenanceBoost	0	[[0xC]]			
134	BoostConnections	CHIRP_POLICY	BoostConnections	0	[[0xC]]			
134	AnimalEthics	CHIRP_POLICY	AnimalEthics	0	[[0xC]]			
134	ParkAdvertisement	CHIRP_POLICY	ParkAdvertisement	0	[[0xC]]			
134	MainPark	CHIRP_POLICY	MainPark	0	[[0xC]]			
134	FireworksBan	CHIRP_POLICY	FireworksBan	0	[[0xC]]			
134	FireworksBoost	CHIRP_POLICY	FireworksBoost	0	[[0xC]]			
134	NightTours	CHIRP_POLICY	NightTours	0	[[0xC]]			
134	EvenMoreFun	CHIRP_POLICY	EvenMoreFun	0	[[0xC]]			
134	NatureRecycle	CHIRP_POLICY	NatureRecycle	0	[[0xC]]			
134	WorkersUnion	CHIRP_POLICY	WorkersUnion	0	[[0xC]]			
134	AutomatedSorting	CHIRP_POLICY	AutomatedSorting	0	[[0xC]]			
134	AutomatedToll	CHIRP_POLICY	AutomatedToll	0	[[0xC]]			
134	FreeWifi	CHIRP_POLICY	FreeWifi	0	[[0xC]]			
134	ImprovedLogistics	CHIRP_POLICY	ImprovedLogistics	0	[[0xC]]			
134	WorkSafety	CHIRP_POLICY	WorkSafety	0	[[0xC]]			
134	AdvancedAutomation	CHIRP_POLICY	AdvancedAutomation	0	[[0xC]]			
134	Industry4point0	CHIRP_POLICY	Industry4point0	0	[[0xC]]			
134	ForProfitEducation	CHIRP_POLICY	ForProfitEducation	0	[[0xC]]			
134	BookFair	CHIRP_POLICY	BookFair	0	[[0xC]]			
134	StudentHealthcare	CHIRP_POLICY	StudentHealthcare	0	[[0xC]]			
134	FreeLunch	CHIRP_POLICY	FreeLunch	0	[[0xC]]			
134	VisitingScholars	CHIRP_POLICY	VisitingScholars	0	[[0xC]]			
134	UniversalEducation	CHIRP_POLICY	UniversalEducation	0	[[0xC]]			
134	FreeFanMerchandise	CHIRP_POLICY	FreeFanMerchandise	0	[[0xC]]			
134	VarsitySportsAds	CHIRP_POLICY	VarsitySportsAds	0	[[0xC]]			
134	SponsorshipDeal	CHIRP_POLICY	SponsorshipDeal	0	[[0xC]]			
134	FishingLicense	CHIRP_POLICY	FishingLicense	0	[[0xC]]			
134	DolphinSafeTuna	CHIRP_POLICY	DolphinSafeTuna	0	[[0xC]]			
134	SustainableFishing	CHIRP_POLICY	SustainableFishing	0	[[0xC]]			
134	AlgaeBasedWaterFiltering	CHIRP_POLICY	AlgaeBasedWaterFiltering	0	[[0xC]]			
134	TouristTravelCard	CHIRP_POLICY	TouristTravelCard	0	[[0xC]]			
134	AirplaneTours	CHIRP_POLICY	AirplaneTours	0	[[0xC]]			
134	PremiumStudio	CHIRP_POLICY	PremiumStudio	0	[[0x6]]			
134	BandAdvertisement	CHIRP_POLICY	BandAdvertisement	0	[[0x6]]			
134	SubsidizedYouth	CHIRP_POLICY	SubsidizedYouth	0	[[0x8]]			
134	ComeOneComeAll	CHIRP_POLICY	ComeOneComeAll	0	[[0x8]]			
134	MatchSecurity	CHIRP_POLICY	MatchSecurity	0	[[0x8]]			
134	Forest	CHIRP_POLICY	Forest	0	[[0x2]]			
134	Farming	CHIRP_POLICY	Farming	0	[[0x2]]			
134	Oil	CHIRP_POLICY	Oil	0	[[0x2]]			
134	Ore	CHIRP_POLICY	Ore	0	[[0x2]]			
134	PowerSaving	CHIRP_POLICY	PowerSaving	0	[[0x2]]			
134	WaterSaving	CHIRP_POLICY	WaterSaving	0	[[0x2]]			
134	SmokeDetectors	CHIRP_POLICY	SmokeDetectors	0	[[0x2]]			
134	RecreationBoost	CHIRP_POLICY	RecreationBoost	0	[[0x2]]			
134	PetBan	CHIRP_POLICY	PetBan	0	[[0x2]]			
134	Recycling	CHIRP_POLICY	Recycling	0	[[0x2]]			
134	SmokingBan	CHIRP_POLICY	SmokingBan	0	[[0x2]]			
134	EducationBoost	CHIRP_POLICY	EducationBoost	0	[[0x2]]			
134	RecreationalUse	CHIRP_POLICY	RecreationalUse	0	[[0x2]]			
134	FreeTransport	CHIRP_POLICY	FreeTransport	0	[[0x2]]			
134	TaxRaiseResLow	CHIRP_POLICY	TaxRaiseResLow	0	[[0x1]]			
134	TaxRaiseResHigh	CHIRP_POLICY	TaxRaiseResHigh	0	[[0x1]]			
134	TaxRaiseComLow	CHIRP_POLICY	TaxRaiseComLow	0	[[0x1]]			
134	TaxRaiseComHigh	CHIRP_POLICY	TaxRaiseComHigh	0	[[0x1]]			
134	TaxRaiseOffice	CHIRP_POLICY	TaxRaiseOffice	0	[[0x1]]			
134	TaxLowerResLow	CHIRP_POLICY	TaxLowerResLow	0	[[0x1]]			
134	TaxLowerResHigh	CHIRP_POLICY	TaxLowerResHigh	0	[[0x1]]			
134	TaxLowerComLow	CHIRP_POLICY	TaxLowerComLow	0	[[0x1]]			
134	TaxLowerComHigh	CHIRP_POLICY	TaxLowerComHigh	0	[[0x1]]			
134	TaxLowerOffice	CHIRP_POLICY	TaxLowerOffice	0	[[0x1]]			
134	SmallBusiness	CHIRP_POLICY	SmallBusiness	0	[[0x2]]			
134	BigBusiness	CHIRP_POLICY	BigBusiness	0	[[0x2]]			
134	IndustrySpace	CHIRP_POLICY	IndustrySpace	0	[[0x2]]			
134	HighTechHousing	CHIRP_POLICY	HighTechHousing	0	[[0x2]]			
134	HighriseBan	CHIRP_POLICY	HighriseBan	0	[[0x2]]			
134	HeavyTrafficBan	CHIRP_POLICY	HeavyTrafficBan	0	[[0x2]]			
134	GreatMaintenance	CHIRP_POLICY	GreatMaintenance	0	[[0x2]]			
CHIRP_NO_PRISONS		CHIRP_NO_PRISONS		0	[[0x3]]			
CHIRP_RANDOM		CHIRP_RANDOM		0	[[0x41]]			
AREA_PATTERN	Airport	AREA_PATTERN	Airport	0	[[0x5]]			
247	PedestrianArea	AREA_PATTERN	PedestrianArea	0	[[0x1]]			
247	PedestrianZone	AREA_PATTERN	PedestrianZone	0	[[0x7]]			
247	AmusementPark	AREA_PATTERN	AmusementPark	0	[[0x4]]			
247	NatureReserve	AREA_PATTERN	NatureReserve	0	[[0x7]]			
247	Zoo	AREA_PATTERN	Zoo	0	[[0xB]]			
247	Generic	AREA_PATTERN	Generic	0	[[0x7]]			
247	Industry	AREA_PATTERN	Industry	0	[[0xA]]			
247	215	AREA_PATTERN	Farming	0	[[0x9]]			
247	Forestry	AREA_PATTERN	Forestry	0	[[0x8]]			
247	217	AREA_PATTERN	Ore	0	[[0x9]]			
247	216	AREA_PATTERN	Oil	0	[[0x9]]			
247	GenericCampus	AREA_PATTERN	GenericCampus	0	[[0x1]]			
247	TradeSchool	AREA_PATTERN	TradeSchool	0	[[0x5]]			
247	LiberalArts	AREA_PATTERN	LiberalArts	0	[[0x5]]			
247	University	AREA_PATTERN	University	0	[[0x5]]			
CHIRP_FIRST_LARGEAIRCRAFTSTAND		CHIRP_FIRST_LARGEAIRCRAFTSTAND		0	[[0x1]]			
CHIRP_FIRST_CONCOURSEHUB_STYLE_A		CHIRP_FIRST_CONCOURSEHUB_STYLE_A		0	[[0x1]]			
CHIRP_AIRPORTBUILDING		CHIRP_AIRPORTBUILDING		0	[[0x3]]			
CHIRP_FIRST_AIRPORTHOTEL		CHIRP_FIRST_AIRPORTHOTEL		0	[[0x1]]			
CHIRP_FIRST_AIRPORTHOTEL_LARGE		CHIRP_FIRST_AIRPORTHOTEL_LARGE		0	[[0x1]]			
CHIRP_FIRST_AIRLINELOUNGE		CHIRP_FIRST_AIRLINELOUNGE		0	[[0x1]]			
CHIRP_FIRST_AIRPORTMETRO		CHIRP_FIRST_AIRPORTMETRO		0	[[0x1]]			
CHIRP_FIRST_AVIATIONMUSEUM		CHIRP_FIRST_AVIATIONMUSEUM		0	[[0x1]]			
CHIRP_RANDOM_EXP10		CHIRP_RANDOM_EXP10		0	[[0x1]]			
CHIRP_RANDOM_EXP11		CHIRP_RANDOM_EXP11		0	[[0xA]]			
CHIRP_INVESTMENT_FALLING		CHIRP_INVESTMENT_FALLING		0	[[0x5]]			
CHIRP_INVESTMENT_RISING		CHIRP_INVESTMENT_RISING		0	[[0x5]]			
CHIRP_INVESTMENT	HealthCareSector	CHIRP_INVESTMENT	HealthCareSector	0	[[0x3]]			
273	DeathCareSector	CHIRP_INVESTMENT	DeathCareSector	0	[[0x3]]			
273	ChirpCoin	CHIRP_INVESTMENT	ChirpCoin	0	[[0x3]]			
273	FuelCompany	CHIRP_INVESTMENT	FuelCompany	0	[[0x3]]			
273	GenericIndustry	CHIRP_INVESTMENT	GenericIndustry	0	[[0x3]]			
273	FarmingIndustry	CHIRP_INVESTMENT	FarmingIndustry	0	[[0x3]]			
273	ForestryIndustry	CHIRP_INVESTMENT	ForestryIndustry	0	[[0x3]]			
273	OreIndustry	CHIRP_INVESTMENT	OreIndustry	0	[[0x3]]			
273	OilIndustry	CHIRP_INVESTMENT	OilIndustry	0	[[0x3]]			
273	VeryLegitCompany	CHIRP_INVESTMENT	VeryLegitCompany	0	[[0x3]]			
273	TrafficJelly	CHIRP_INVESTMENT	TrafficJelly	0	[[0x3]]			
273	AirplaneInvestment	CHIRP_INVESTMENT	AirplaneInvestment	0	[[0x3]]			
273	ShipInvestment	CHIRP_INVESTMENT	ShipInvestment	0	[[0x3]]			
CHIRP_RANDOM_EXP12		CHIRP_RANDOM_EXP12		0	[[0x7]]			
CHIRP_RANDOM_EXP13		CHIRP_RANDOM_EXP13		0	[[0x3]]			
CHIRP_FIRST_TRAMDEPOT		CHIRP_FIRST_TRAMDEPOT		0	[[0x1]]			
CHIRP_FIRST_SAUNA		CHIRP_FIRST_SAUNA		0	[[0x1]]			
CHIRP_FIRST_SKIRESORT		CHIRP_FIRST_SKIRESORT		0	[[0x1]]			
CHIRP_FIRST_SPAHOTEL		CHIRP_FIRST_SPAHOTEL		0	[[0x1]]			
CHIRP_FIRST_BOILERSTATION		CHIRP_FIRST_BOILERSTATION		0	[[0x1]]			
CHIRP_FIRST_SNOWDUMP		CHIRP_FIRST_SNOWDUMP		0	[[0x1]]			
CHIRP_FIRST_ROADMAINTENANCEDEPOT		CHIRP_FIRST_ROADMAINTENANCEDEPOT		0	[[0x1]]			
CHIRP_FIRST_GEOTHERMALPLANT		CHIRP_FIRST_GEOTHERMALPLANT		0	[[0x1]]			
CHIRP_RANDOM_THEME	Winter	CHIRP_RANDOM_THEME	Winter	0	[[0x14]]			
LOADING_TIP_EXPANSION2_TITLE		LOADING_TIP_EXPANSION2_TITLE		0	[[0x3]]			
LOADING_TIP_EXPANSION2_TEXT		LOADING_TIP_EXPANSION2_TEXT		0	[[0x3]]			
LOADING_TIP_TITLE		LOADING_TIP_TITLE		0	[[0x22]]			
LOADING_TIP_TEXT		LOADING_TIP_TEXT		0	[[0x22]]			
