id	index	key	value	value（翻訳）	備考: 翻訳に改行が含まれているとロケール作成時にエラーになります。改行を入れないよう注意して下さい。（注：ゲーム内の改行は\nと書く）
ASSETIMPORTER_PIVOTBOTTOMCENTER		0	Bottom-Center Pivot	下部中央を回転軸にする	
ASSETIMPORTER_BACKTOMAINMENU		0	Back to Main Menu	メインメニューに戻る	
ASSETIMPORTER_STATE		0	State:	状態:	
ASSETIMPORTER_SELECTASSET		0	Select a model to import:	インポートするモデルを選んでください:	
ASSEIMPORTER_BACK		0	Back	戻る	
ASSETIMPORTER_CONTINUE		0	Continue	続ける	
DECORATIONSETTINGS_TITLE	Snapshot	0	Snapshot Tool	スナップショットツール	
DECORATIONSETTINGS_TITLE	Thumbshot	0	Thumbshot Tool	サムネイル画像ツール	
DECORATIONSETTINGS_TITLE	Infoshot	0	Infoshot Tool	説明文画像ツール	
DECORATIONSETTINGS_DESC	Snapshot	0	Capture snapshots to use when saving/sharing.	保存時・共有時に使うスナップショットを撮ります。	
DECORATIONSETTINGS_DESC	Thumbshot	0	Capture screenshots to be used as thumbnails when saving	保存時にサムネイルとして使うスクリーンショットを撮る	
DECORATIONSETTINGS_DESC	Infoshot	0	Capture screenshots to be used as tooltip images when saving	保存時にツールチップ画像として使うスクリーンショットを撮る	
ASSET_NAME		0	Asset Name:	アセット名:	
ASSETTYPE_BUILDING		0	Building	建物	
ASSETTYPE_PROP		0	Prop	部品	
ASSETTYPE_TREE		0	Tree	木	
ASSETTYPE_VEHICLE		0	Vehicle	自動車	
ASSETTYPE_CITIZEN		0	Citizen	市民	
ASSETTYPE_INTERSECTION		0	Intersection	交差	
ASSETTYPE_PARK		0	Park	公園	
ASSETTYPE_DESCRIPTION		0	Select the asset type to create:	作成するアセットタイプを選択:	
ASSETTEMPLATE_DESCRIPTION		0	Select a template to start from:	元にするテンプレートを選択:	
MAPEDITOR_BRUSHSIZE		0	Brush Size	ブラシサイズ	
MAPEDITOR_BRUSHSTRENGTH		0	Brush Strength	ブラシの硬さ	
MAPEDITOR_WATERCAPACITY		0	Water Capacity	水容量	
MAPEDITOR_SELECTBRUSH		0	Select a brush:	ブラシを選択:	
MAPEDITOR_SEALEVEL		0	Sea Level	海水面	
MAPEDITOR_TERRAINLEVEL		0	Terrain Height	標高	
MAPEDITOR_RESET_WATER		0	Reset Water To Sea Level	水位を海水面に戻す	
MAPEDITOR_UNDO_TERRAIN		0	Undo Terrain Modification	地形の変更を元に戻す	
HEIGHTMAP_IMPORT		0	Import	インポート	
HEIGHTMAP_EXPORT		0	Export	エクスポート	
HEIGHTMAP_LOADERROR		0	{0} failed to load	{0} ロードに失敗	
CONFIRM_HEIGHTMAPOVERRIDE	Title	0	Confirm Overwrite	上書きの確認	
CONFIRM_HEIGHTMAPOVERRIDE	Message	0	You are about to overwrite this heightmap.\nDo you wish to proceed?\n	高さマップを上書きしようとしています。\nよろしいですか？\n	
CONFIRM_RETURNMAPEDITOR	Title	0	BACK TO MAIN MENU	メインメニューに戻る	
CONFIRM_RETURNMAPEDITOR	Message	0	Unsaved changes will be lost.\nDo you wish to proceed?\n	保存していない変更結果は消滅します。\nよろしいですか？\n	
CONFIRM_EXITMAPEDITOR	Title	0	EXIT GAME	ゲームを終了	
CONFIRM_EXITMAPEDITOR	Message	0	Unsaved changes will be lost.\nDo you wish to proceed?\n	保存していない変更結果は消滅します。\nよろしいですか？\n	
CONFIRM_NEWMAP	Title	0	New Map	新しいマップ	
CONFIRM_NEWMAP	Message	0	Unsaved changes will be lost.\nDo you wish to proceed?\n	保存していない変更結果は消滅します。\nよろしいですか？\n	
MAPEDITOR_TOOL	Terrain	0	Terrain	地形	
MAPEDITOR_TOOL	Water	0	Water	水	
MAPEDITOR_TOOL	Resource	0	Ground Resources	土地資源	
MAPEDITOR_TOOL	ImportHeightmap	0	Import Heightmap	高さマップをインポート	
MAPEDITOR_TOOL	ExportHeightmap	0	Export Heightmap	高さマップをエクスポート	
MAPEDITOR_TOOL	Forest	0	Forest Resources	森林資源	
MAPEDITOR_TOOL	Environment	0	Environment	環境	
MAPEDITOR_TOOL	MapSettings	0	Map Settings	マップ設定	
MAPEDITOR_INFOVIEWS	Resources	0	Natural Resources	天然資源	
MAPEDITOR_INFOVIEWS	TerrainHeight	0	Terrain Heights	等高線	
MAPEDITOR_INFOVIEWS	WindSpeed	0	Wind Speed	風速	
MAPEDITOR_INFOVIEWS	PublicTransport	0	Outside Connections	外部との接続	
MAPEDITOR_INFOVIEWS	Water	0	Water Flow	水の流れ	
MAPEDITOR_NET_TITLE	Ship Path	0	Ship Path	航路	
MAPEDITOR_NET_TITLE	Airplane Path	0	Airplane Path	航空路	
MAPEDITOR_NET_TITLE	Train Track	0	Train Track	線路	
MAPEDITOR_NET_TITLE	Highway	0	Highway	高速道路	
MAPEDITOR_NET_TITLE	HighwayRamp	0	Highway Ramp	高速道路のランプ	
MAPEDITOR_NET_DESC	Ship Path	0	Set paths and connect them to the edges of the terrain to provide ship access from outside the city.	船の航路を設定して地域の端に接続し、都市外から船舶が到着できるようにします。	
MAPEDITOR_NET_DESC	Airplane Path	0	Set paths and connect them to the edges of the terrain to provide airplane access from outside the city.	航空路を設定して地域の端に接続し、都市外から飛行機が到着できるようにします。	
MAPEDITOR_NET_DESC	Train Track	0	Set train tracks and connect them to the edges of the terrain to get trains from outside the city.	線路を敷設して地域の端に接続し、都市外から列車が到着できるようにします。	
MAPEDITOR_NET_DESC	Highway	0	Set highway roads and connect them to the edges of the terrain to get people to come into the city.	高速道路を敷設して地域の端に接続し、人々が都市に来られるようにします。	
MAPEDITOR_NET_DESC	HighwayRamp	0	Use highway ramps to provide an exit from the highway as a starting point for the city's road network.	ランプを使用して高速道路からの出口を設け、都市の道路網の起点とします。	
CHIRPHEADER_TREES		0	{0:N0} / {1:N0} trees used	{0:N0} / {1:N0} の樹木を使用中	
CHIRPHEADER_PROPS		0	{0:N0} / {1:N0} props used	{0:N0} / {1:N0} のプロップを使用中	
CHIRPHEADER_SHIP_CONNECTIONS		0	{0:N0} / {1:N0} ship connections used	{0:N0} / {1:N0} の船の航路が接続済	
CHIRPHEADER_PLANE_CONNECTIONS		0	{0:N0} / {1:N0} plane connections used	{0:N0} / {1:N0} の飛行航路が接続済	
CHIRPHEADER_TRAIN_CONNECTIONS		0	{0:N0} / {1:N0} train connections used	{0:N0} / {1:N0} の線路が接続済	
CHIRPHEADER_ROAD_CONNECTIONS		0	{0:N0} / {1:N0} incoming road connections used\n{2:N0} / {3:N0} outgoing road connections used\n	{0:N0} / {1:N0} の内向き道路が接続済\n{2:N0} / {3:N0} の外向き道路が接続済\n	
EDITORCHIRPER_REQUIREMENTS		0	Requirements	必須事項	
EDITORCHIRPER_REQUIREMENTS_WATER		0	Have water stream in the starting area.	開始タイルに河川がある。	
EDITORCHIRPER_REQUIREMENTS_SHIP		0	Have at least one ship path connection.	最低一つの船の航路が繋がっている。	
EDITORCHIRPER_REQUIREMENTS_PLANE		0	Have at least one plane path connection.	最低一つの飛行航路が繋がっている。	
EDITORCHIRPER_REQUIREMENTS_TRAIN		0	Have at least one train track connection.	最低一つの線路が繋がっている。	
EDITORCHIRPER_REQUIREMENTS_ROADIN		0	Have at least one incoming highway connection.	最低一つの地域内へ向かう高速道路が繋がっている。	
EDITORCHIRPER_REQUIREMENTS_ROADOUT		0	Have at least one outgoing highway connection.	最低一つの地域外へ向かう高速道路が繋がっている。	
EDITORCHIRPER_REQUIREMENTS_RECOMMENDED		0	Recommended	推奨事項	
EDITORCHIRPER_REQUIREMENTS_OIL		0	Have oil areas in the map.	石油資源がある。	
EDITORCHIRPER_REQUIREMENTS_FOREST		0	Have forest areas in the map.	森林資源がある。	
EDITORCHIRPER_REQUIREMENTS_ORE		0	Have ore areas in the map.	鉱石資源がある。	
EDITORCHIRPER_REQUIREMENTS_FERTILITY		0	Have fertile areas in the map.	肥沃な土地がある。	
MAPEDITOR_UNFITREQUIREMENTS		0	The map is not playable because the Requirement list is not fulfilled.	このマップは必須事項が満たされていないのでプレイ不可能です。	
TERRAIN_TITLE	Level	0	Level Tool	平坦化ツール	
TERRAIN_TITLE	Shift	0	Shift Tool	変化ツール	
TERRAIN_TITLE	Soften	0	Soften Tool	平均化ツール	
TERRAIN_TITLE	Slope	0	Slope Tool	傾斜ツール	
TERRAIN_DESC	Level	0	Even out the terrain under the brush.\n1. Click the secondary mouse button on the terrain to select the desired height.\n2. Click the primary mouse button on the terrain to set the desired height.\n	ブラシ範囲内の地形を平らにします。\n1. 地形上でマウスの副ボタンをクリックし、基準の高さを決定します。\n2. 地形上でマウスの主ボタンをクリックし、地形を設定した高さにします。\n	
TERRAIN_DESC	Shift	0	Lower/Raise the terrain under the brush.\nUse the primary mouse button to raise. \nUse the secondary mouse button to lower.\n	ブラシ範囲内の地形を上げ下げします。\nマウスの主ボタンを使うと高くなります。 \n副ボタンを使うと低くなります。\n	
TERRAIN_DESC	Soften	0	Smooth the terrain under the brush.\nUse the primary mouse button to smooth softly / soften hard edges.\nUse the secondary mouse button to strongly smooth areas.\n	ブラシ範囲内の地形をなめらかにします。\nマウスの主ボタンを使うと軽めのスムージングをしたり角を取ったりします。\n副ボタンを使うとより範囲を強くスムージングします。\n	
TERRAIN_DESC	Slope	0	Create a slope on the terrain.\n1. Use the secondary mouse button to set the final position of the slope on the terrain.\n2. Click the primary mouse button and drag toward the final position to create a slope.\n	地形に傾斜を作ります。\n1. マウスの副ボタンを使って地形に作る傾斜の終点を指定します。\n2. マウスの主ボタンをクリックして始点から終点に向かってドラッグすると傾斜ができます。\n	
MAPSETTINGS_TITLE	StartTile	0	Start Tile	開始タイル	
MAPSETTINGS_TITLE	Snapshot	0	Snapshot Tool	スナップショットツール	
MAPSETTINGS_DESC	StartTile	0	Select the starting area.	開始エリアを選択してください。	
MAPSETTINGS_DESC	Snapshot	0	Capture snapshots to use when saving/sharing.	保存時・共有時に使うスナップショットを撮ります。	
WATER_TITLE	PlaceWater	0	Place Water Source	水源を設置	
WATER_TITLE	MoveSeaLevel	0	Move Sea Level	海水面を変更	
WATER_DESC	PlaceWater	0	Use the primary mouse button to place.\nUse the secondary mouse button to remove.\nUse the handle to adjust water level.\n	マウスの主ボタンで配置を行います。\nマウスの副ボタンで除去します。\n水源の上面をドラッグして高さを調節します。\n	
WATER_DESC	MoveSeaLevel	0	Adjust the height of the sea level.	海水面の高さを調節します。	
RESOURCE_TITLE	Oil	0	Oil	石油	
RESOURCE_TITLE	Ore	0	Ore	鉱石	
RESOURCE_TITLE	Fertility	0	Fertile Land	肥沃な土地	
RESOURCE_DESC	Oil	0	Use the primary mouse button to place oil under the brush.\nUse the secondary mouse button to remove oil from under the brush.\n	マウスの主ボタンを使うとブラシ範囲内に石油を配置します。\nマウスの副ボタンを使うとブラシ範囲内から石油を除去します。\n	
RESOURCE_DESC	Ore	0	Use the primary mouse button to place ore under the brush.\nUse the secondary mouse button to remove ore from under the brush.\n	マウスの主ボタンを使うとブラシ範囲内に鉱石を配置します。\nマウスの副ボタンを使うとブラシ範囲内から鉱石を除去します。\n	
RESOURCE_DESC	Fertility	0	Use the primary mouse button to set the area under the brush to be fertile.\nUse the secondary mouse button to remove a fertile area.\n	マウスの主ボタンを使うとブラシ範囲内を肥沃な土地にします。\nマウスの副ボタンを使うと肥沃な土地を除去します。\n	
ENVIRONMENT_TITLE	Sand	0	Sand	砂	
ENVIRONMENT_DESC	Sand	0	Use the primary mouse button to place decorative sand to the area under the brush.\nUse the secondary mouse button to remove decorative sand from the area under the brush.\n	マウスの主ボタンを使うとブラシ範囲内に装飾用の砂を配置します。\nマウスの副ボタンを使うとブラシ範囲内から装飾用の砂を除去します。\n	
NO_SNAPSHOTS		0	No snapshots available	スナップショットがありません	
PUBLISH_MAP		0	Publish Map in New Game Panel	新規ゲームパネルへマップを追加	
MAP_NAME		0	Map Name:	マップ名:	
TOOL_SINGLE		0	Single	シングル	
BUILDING_TITLE	Prison	0	Prison	刑務所	
BUILDING_TITLE	Casino	0	Casino	カジノ	
BUILDING_TITLE	LuxuryHotel	0	Luxury Hotel	高級ホテル	
BUILDING_TITLE	Fancy Fountain	0	Fantastic Fountain	すてきな噴水	
BUILDING_TITLE	DrivingRange	0	Driving Range	ゴルフ練習場	
BUILDING_TITLE	Zoo	0	Zoo	動物園	
BUILDING_TITLE	Bus Station	0	Bus Station	バスステーション	
BUILDING_TITLE	Skatepark	0	Skatepark	スケートパーク	
BUILDING_TITLE	9x15_RidingStable	0	Riding Stable	乗馬クラブ	
BUILDING_TITLE	Beachvolley Court	0	Beach Volleyball Court	ビーチバレー用コート	
BUILDING_TITLE	2x8_FishingPier	0	Fishing Pier	釣り桟橋	
BUILDING_TITLE	Large Airport	0	International Airport	国際空港	
BUILDING_TITLE	Cargo Hub	0	Cargo Hub	貨物ハブ	
BUILDING_TITLE	Taxi Depot	0	Taxi Depot	タクシー車庫	
BUILDING_TITLE	Taxi Stand	0	Taxi Stand	タクシー乗り場	
BUILDING_TITLE	MagickaPark	0	Magicka Theme Park	Magickaランド	
BUILDING_TITLE	2x2_Jet_ski_rental	0	Jet Ski Rental	ジェットスキーレンタル	
BUILDING_TITLE	3x2_Fishing tours	0	Fishing Tours	フィッシングツアー	
BUILDING_TITLE	4x4_Marina	0	Marina	マリーナ	
BUILDING_TITLE	2x4_RestaurantPier	0	Restaurant Pier	水上レストラン	
BUILDING_TITLE	Tram Depot	0	Tram Depot	路面電車車庫	
BUILDING_TITLE	tram_stop	0	Tram Stop	路面電車停留所	
BUILDING_TITLE	Sauna	0	Sauna	サウナ	
BUILDING_TITLE	Ski Lodge	0	Ski Lodge	スキーロッジ	
BUILDING_TITLE	Skating Rink	0	Skating Rink	スケートリンク	
BUILDING_TITLE	Ice Sculpture Park	0	Ice Sculpture Park	氷の彫刻公園	
BUILDING_TITLE	Ski Resort Building	0	Ski Resort	スキーリゾート	
BUILDING_TITLE	Ice Hockey Arena	0	Ice Hockey Arena	アイスホッケーアリーナ	
BUILDING_TITLE	Spa Hotel	0	Spa Hotel	スパホテル	
BUILDING_TITLE	Boiler Station	0	Boiler Station	ボイラーステーション	
BUILDING_TITLE	Snowdump	0	Snow Dump	雪寄せ場	
BUILDING_TITLE	Road Maintenance Depot	0	Road Maintenance Depot	道路管理事業所	
BUILDING_TITLE	Curling Park	0	Curling Park	カーリング公園	
BUILDING_TITLE	Sled_Hill	0	Sledding Hill	そり公園	
BUILDING_TITLE	Snowman_Park	0	Snowman Park	雪だるま公園	
BUILDING_TITLE	Snowcastle Restaurant	0	Snowcastle Restaurant	雪のお城レストラン	
BUILDING_TITLE	Sleigh Ride	0	Sleigh Ride	そり遊び場	
BUILDING_TITLE	Ice Hockey Rink	0	Ice Hockey Rink	アイスホッケーリンク	
BUILDING_TITLE	Snowmobile Track	0	Snowmobile Track	スノーモービル競技場	
BUILDING_TITLE	Ice_Fishing_Pond	0	Icefishing Pond	ワカサギ釣り場	
BUILDING_TITLE	Frozen Fountain	0	Frozen Fountain	凍った噴水	
BUILDING_TITLE	Public Firepit	0	Firepit Park	焚火公園	
BUILDING_TITLE	Igloo Hotel	0	Igloo Hotel	イグルーホテル	
BUILDING_TITLE	Santa_Claus_Workshop	0	Santa Claus' Workshop	サンタクロース工房	
BUILDING_TITLE	Geothermal_Plant	0	Geothermal Heating Plant	地熱暖房プラント	
BUILDING_TITLE	Cross-Country Skiing	0	Cross-Country Skiing Park	クロスカントリースキー場	
BUILDING_TITLE	2x2_winter_fishing_pier	0	Fishing Pier	釣り場	
BUILDING_TITLE	Christmas Tree	0	The Christmas Tree	クリスマスツリー	
BUILDING_TITLE	snowboard_arena	0	Snowboard Arena	スノーボードアリーナ	
BUILDING_TITLE	ParadoxPlazaWinter	0	Paradox Plaza	パラドックスプラザ	
BUILDING_TITLE	Medical Clinic Winter	0	Medical Clinic	診療所	
BUILDING_TITLE	Rock Area 01	0	Rock Area	岩場１	1.4.0-f3 にて追加
BUILDING_TITLE	Rock Area 02	0	Rock Area 2	岩場２	1.4.0-f3 にて追加
BUILDING_TITLE	Rock Area 03	0	Rock Area 3	岩場３	1.4.0-f3 にて追加
BUILDING_TITLE	Rock Area 04	0	Rock Area 4	岩場４	1.4.0-f3 にて追加
BUILDING_TITLE	Boulder 01	0	Boulder	岩１	1.4.0-f3 にて追加
BUILDING_TITLE	Boulder 02	0	Boulder 2	岩２	1.4.0-f3 にて追加
BUILDING_TITLE	Boulder 03	0	Boulder 3	岩３	1.4.0-f3 にて追加
BUILDING_TITLE	Boulder 04	0	Boulder 4	岩４	1.4.0-f3 にて追加
BUILDING_TITLE	Rock Formation 01	0	Rock Formation	立派な岩	1.4.0-f3 にて追加
BUILDING_TITLE	Rock Formation 02	0	Rock Formation 2	立派な岩２	1.4.0-f3 にて追加
BUILDING_TITLE	Rock Formation 03	0	Rock Formation 3	立派な岩３	1.4.0-f3 にて追加
BUILDING_TITLE	Rock Formation 04	0	Rock Formation 4	立派な岩４	1.4.0-f3 にて追加
BUILDING_TITLE	Ship Wreck 01	0	Ship Wreck	難破船	1.4.0-f3 にて追加
BUILDING_TITLE	Castle Ruins 01	0	Castle Ruins	城跡	1.4.0-f3 にて追加
BUILDING_TITLE	Castle Ruins 02	0	Castle Tower Ruins	城塔跡	1.4.0-f3 にて追加
BUILDING_TITLE	Castle Ruins 03	0	Castle Tower Ruins 2	城塔跡２	1.4.0-f3 にて追加
BUILDING_TITLE	Bunker Ruins 01	0	Bunker Ruins	掩体壕の廃墟	1.4.0-f3 にて追加
BUILDING_TITLE	Bunker Ruins 02	0	Bunker Ruins 2	掩体壕の廃墟２	1.4.0-f3 にて追加
BUILDING_TITLE	Abandoned Building 01	0	Abandoned Stone Farmhouse	石造りの農家の廃屋	1.4.0-f3 にて追加
BUILDING_TITLE	Ancient Cemetery 01	0	Ancient Cemetery	古代の墓	1.4.1-f2 にて追加
BUILDING_TITLE	Abandoned Factory 01	0	Abandoned Factory	廃工場	1.4.0-f3 にて追加
BUILDING_TITLE	Abandoned Lighthouse 01	0	Abandoned Lighthouse	見捨てられた灯台	1.4.0-f3 にて追加
BUILDING_TITLE	Pier Ruins 01	0	Pier Ruins	桟橋の廃墟	1.4.0-f3 にて追加
BUILDING_TITLE	Coal Power Plant	0	Coal Power Plant	石炭発電所	
BUILDING_TITLE	Oil Power Plant	0	Oil Power Plant	石油発電所	
BUILDING_TITLE	Nuclear Power Plant	0	Nuclear Power Plant	原子力発電所	
BUILDING_TITLE	Wind Turbine	0	Wind Turbine	風力発電所	
BUILDING_TITLE	Advanced Wind Turbine	0	Advanced Wind Turbine	先進型風力発電所	
BUILDING_TITLE	Solar Power Plant	0	Solar Power Plant	太陽熱発電所	
BUILDING_TITLE	Water Intake	0	Water Pumping Station	ポンプ場	
BUILDING_TITLE	Water Outlet	0	Water Drain Pipe	排水管	
BUILDING_TITLE	Water Treatment Plant	0	Water Treatment Plant	下水処理施設	
BUILDING_TITLE	Water Tower	0	Water Tower	給水塔	
BUILDING_TITLE	Landfill Site	0	Landfill Site	ゴミ処分場	
BUILDING_TITLE	Combustion Plant	0	Incineration Plant	ゴミ焼却炉	
BUILDING_TITLE	Hospital	0	Hospital	病院	
BUILDING_TITLE	Medical Clinic	0	Medical Clinic	診療所	
BUILDING_TITLE	Crematory	0	Crematorium	火葬場	
BUILDING_TITLE	Cemetery	0	Cemetery	墓地	
BUILDING_TITLE	Fire House	0	Fire House	消防署	
BUILDING_TITLE	Fire Station	0	Fire Station	消防本部	
BUILDING_TITLE	Police Station	0	Police Station	警察署	
BUILDING_TITLE	Police Headquarters	0	Police Headquarters	警察本部	
BUILDING_TITLE	Town Hall	0	Town Hall	市役所	
BUILDING_TITLE	City Hall	0	Tax Office	税務署	
BUILDING_TITLE	Elementary School	0	Elementary School	小学校	
BUILDING_TITLE	High School	0	High School	高校	
BUILDING_TITLE	University	0	University	大学	
BUILDING_TITLE	Bus Depot	0	Bus Depot	バス車庫	
BUILDING_TITLE	Metro Entrance	0	Metro Station	地下鉄駅	
BUILDING_TITLE	Train Station	0	Train Station	鉄道駅	
BUILDING_TITLE	Airport	0	Airport	空港	
BUILDING_TITLE	Harbor	0	Harbor	港	
BUILDING_TITLE	Cargo Harbor	0	Cargo Harbor	貨物港	
BUILDING_TITLE	Cargo Center	0	Cargo Train Terminal	貨物駅	
BUILDING_TITLE	BeautificationPanel	0	Tree	木	
BUILDING_TITLE	Obelisk	0	Obelisk	オベリスク	
BUILDING_TITLE	Stadium	0	Stadium	スタジアム	
BUILDING_TITLE	StatueOfWealth	0	Statue of Wealth	富の像	
BUILDING_TITLE	ExpoCenter	0	Expo Center	エキスポセンター	
BUILDING_TITLE	Modern Art Museum	0	MAM Modern Art Museum	MAM 近代美術館	
BUILDING_TITLE	Plaza of the Dead	0	Plaza of the Dead	死者の広場	
BUILDING_TITLE	Fountain of LifeDeath	0	Fountain of Life and Death	生と死の泉	
BUILDING_TITLE	SeaWorld	0	Aquarium	水族館	
BUILDING_TITLE	Colossal Offices	0	Colossal Order Offices	Colossal Order 本社	
BUILDING_TITLE	Posh Mall	0	Posh Mall	ザマス・モール	
BUILDING_TITLE	Library	0	Grand Library	大きな図書館	
BUILDING_TITLE	Observatory	0	Observatory	天文台	
BUILDING_TITLE	Official Park	0	Official Park	公式公園	
BUILDING_TITLE	Friendly Neighborhood	0	Friendly Neighborhood Park	明るい町内パーク	
BUILDING_TITLE	Servicing Services	0	Servicing Services Offices	サービスサービス本社	
BUILDING_TITLE	Business Park	0	Business Park	ビジネスパーク	
BUILDING_TITLE	ScienceCenter	0	Science Center	科学館	
BUILDING_TITLE	Cathedral of Plentitude	0	Cathedral of Plentitude	豊穣の大聖堂	
BUILDING_TITLE	Statue of Industry	0	Statue of Industry	産業の像	
BUILDING_TITLE	Opera House	0	Opera House	オペラハウス	
BUILDING_TITLE	Grand Mall	0	Grand Mall	大型モール	
BUILDING_TITLE	SeaAndSky Scraper	0	Sea-and-Sky Scraper	摩天楼	
BUILDING_TITLE	Lazaret Plaza	0	Lazaret Plaza	隔離広場	
BUILDING_TITLE	Court House	0	Court House	裁判所	
BUILDING_TITLE	Theater of Wonders	0	Theater of Wonders	シアター・オブ・ワンダー	
BUILDING_TITLE	Statue of Shopping	0	Statue of Shopping	ショッピングの像	
BUILDING_TITLE	Transport Tower	0	Transport Tower	交通タワー	
BUILDING_TITLE	High Interest Tower	0	High Interest Tower	高利息タワー	
BUILDING_TITLE	Trash Mall	0	Mall of Moderation	節約商店街	
BUILDING_TITLE	Oppression Office	0	Oppression Office	圧迫庁舎	
BUILDING_TITLE	Fusion Power Plant	0	Fusion Power Plant	核融合発電所	
BUILDING_TITLE	Eden Project	0	Eden Project	エデンプロジェクト	
BUILDING_TITLE	Space Elevator	0	Space Elevator	軌道エレベータ	
BUILDING_TITLE	Medical Center	0	Medical Center	医療センター	
BUILDING_TITLE	Hadron Collider	0	Hadron Collider	ハドロン衝突型加速器	
BUILDING_TITLE	Dam Power House	0	Hydro Power Plant	水力発電所	
BUILDING_TITLE	Expensive Park	0	Park with Trees	木がある公園	
BUILDING_TITLE	Expensive Playground	0	Large Playground	大きい遊び場	
BUILDING_TITLE	Expensive Plaza	0	Plaza with Picnic Tables	ピクニックテーブルのある広場	
BUILDING_TITLE	Regular Park	0	Small Park	小さい公園	
BUILDING_TITLE	Regular Park2	0	Neighborhood Park	地域の公園	
BUILDING_TITLE	Regular Playground	0	Small Playground	小さい遊び場	
BUILDING_TITLE	Regular Plaza	0	Plaza with Trees	木がある広場	
BUILDING_TITLE	Parking Lot	0	Parking Lot	駐車場	
BUILDING_TITLE	Cloverleaf Intersection	0	Cloverleaf Intersection	クローバー型交差点	
BUILDING_TITLE	Threeway Intersection	0	Three-Way Intersection	三叉路	
BUILDING_TITLE	RoundaboutS	0	Small Roundabout	小さいラウンドアバウト	
BUILDING_TITLE	RoundaboutL	0	Large Roundabout	大きいラウンドアバウト	
BUILDING_TITLE	Basketball Court	0	Basketball Court	バスケットボールコート	
